entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_fvg_size_atr,weight_hurst,weight_lr_deviation,weight_skewness,weight_kurtosis,weight_obv_div,weight_overlap_count,weight_regime,weight_vwap,weight_obv,weight_volume,hurst,lr_deviation,r2,skewness,kurtosis,obv_divergence,atr_percentile,score_fvg,score_fvg_size_atr,score_hurst,score_lr_deviation,score_skewness,score_kurtosis,score_obv_div,score_overlap_count,score_regime,score_vwap,score_obv,score_volume,source_file
2025-05-12 01:00:00,1.32879,BUY,0.01,1.326718777631012,1.3329324447379762,VIRTUAL,2025-05-12 10:00:00,1.326718777631012,SL,-2.071222368988046,-20.71222368988046,71.8,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7105733850863009,-1.189753574056337,0.1781911340438355,-1.3515499826130233,4.912894275022516,0,1.0,45,7.5,10.0,8.8,3.0,5.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-12 10:15:00,1.31958,BUY,0.02,1.316749012311563,1.3252419753768738,REAL,2025-05-12 10:45:00,1.316749012311563,SL,-5.661975376873851,-28.309876884369256,79.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.6882665779623666,-4.805130407846677,0.2340143604575321,-2.126373803962455,3.7525348293154823,0,1.0,45,7.5,10.0,16.0,3.0,5.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-12 10:45:00,1.31691,BUY,0.04,1.3140184136917965,1.3226931726164075,REAL,2025-05-12 13:45:00,1.3140184136917965,SL,-11.566345232814967,-28.91586308203742,77.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.684795672282237,-3.6705095583508074,0.2600690606012961,-1.8157963625732565,2.602352583069496,0,1.0,45,7.5,10.0,16.0,3.0,3.5,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-12 13:45:00,1.31413,BUY,0.09,1.31156729263161,1.31925541473678,REAL,2025-05-12 15:30:00,1.31925541473678,TP,46.12873263101868,51.25414736779854,73.1,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7150109813639051,-1.5344141630986288,0.6446888048993717,-0.947275911989808,0.5955531264254503,0,11.0,45,7.5,10.0,14.0,2.1,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-12 21:15:00,1.31653,BUY,0.01,1.3151069260436554,1.3193761479126889,VIRTUAL,2025-05-13 06:45:00,1.3193761479126889,TP,2.84614791268889,28.4614791268889,71.2,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.78475377636611,-0.1165955596296475,0.2041552362384886,0.0508492251915306,-0.4878833309267456,0,59.0,45,7.5,10.0,3.2,2.0,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-13 09:00:00,1.31946,BUY,0.01,1.3182919476733332,1.321796104653334,VIRTUAL,2025-05-13 12:15:00,1.321796104653334,TP,2.3361046533338925,23.361046533338925,71.2,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8050436948147813,-0.2160069026569116,0.7006495030965119,-0.2354095348387745,-1.265026697932435,0,62.0,45,7.5,10.0,4.0,1.2,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-13 15:45:00,1.32434,BUY,0.01,1.3227237529159137,1.3275724941681726,VIRTUAL,2025-05-13 16:45:00,1.3227237529159137,SL,-1.6162470840863643,-16.16247084086364,88.7,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.6798586950686094,3.181021607449342,0.8376612952815112,0.8413257414918156,1.1496150212649798,0,37.0,45,7.5,10.0,13.2,7.0,3.5,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-13 18:00:00,1.32643,BUY,0.01,1.3243083969750669,1.3306732060498665,VIRTUAL,2025-05-13 22:45:00,1.3306732060498665,TP,4.243206049866499,42.43206049866499,72.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7123984547498288,2.972738141861838,0.7886118306807103,0.334628817654955,-0.1910991996684377,0,1.0,45,7.5,10.0,12.0,4.0,1.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-13 22:45:00,1.33057,BUY,0.01,1.329545358054842,1.3326192838903164,VIRTUAL,2025-05-14 09:00:00,1.329545358054842,SL,-1.0246419451580555,-10.246419451580556,78.4,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7220572018289354,-0.0958167163472723,0.8972695237147952,0.815264772630877,0.2952808437900218,0,67.0,45,7.5,10.0,4.4,7.0,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-14 11:30:00,1.33454,BUY,0.01,1.332360902048712,1.3388981959025763,VIRTUAL,2025-05-14 15:00:00,1.332360902048712,SL,-2.1790979512881226,-21.790979512881226,72.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7372879914768927,3.093980898062392,0.1364577579280622,0.5158325799725618,-0.4212658504517153,0,7.000000000000001,45,7.5,10.0,9.6,7.0,1.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-14 17:30:00,1.32946,BUY,0.01,1.3273573250232755,1.333665349953449,VIRTUAL,2025-05-14 19:30:00,1.3273573250232755,SL,-2.102674976724561,-21.02674976724561,73.6,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7714941020157313,-2.491829300365541,0.2156161395246861,0.4601368211571056,-1.1469223086371267,0,15.0,45,7.5,10.0,13.6,4.0,1.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-14 20:45:00,1.32792,BUY,0.03,1.3263261341534365,1.331107731693127,REAL,2025-05-14 21:15:00,1.3263261341534365,SL,-4.781597539690541,-15.938658465635136,77.89999999999999,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7214524521544081,-1.068781301189435,0.2075759390376211,-0.6086795545960745,0.5598749991580787,0,41.0,45,7.5,10.0,8.8,2.1,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-14 21:15:00,1.32614,BUY,0.06,1.324519762986359,1.3293804740272823,REAL,2025-05-15 09:15:00,1.3293804740272823,TP,19.44284416369335,32.40474027282225,80.3,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.733151783822437,-1.5068142656209529,0.3481097463346502,-0.562568227924413,0.2201981461769713,0,44.0,45,7.5,10.0,11.2,2.1,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-15 09:45:00,1.33041,BUY,0.01,1.3289784119273405,1.3332731761453191,VIRTUAL,2025-05-15 10:00:00,1.3289784119273405,SL,-1.4315880726596395,-14.315880726596395,80.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7400142564043919,2.732542427356223,0.6487693860778858,0.1365454569695738,-1.0378739583593997,0,52.0,45,7.5,10.0,12.0,2.0,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-16 11:30:00,1.33089,BUY,0.01,1.329687298477788,1.3332954030444235,VIRTUAL,2025-05-16 12:45:00,1.329687298477788,SL,-1.202701522211802,-12.02701522211802,82.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.771019326525625,-2.461437366854572,0.5094003444083468,-0.4663826137593894,-0.2005142804020603,0,47.0,45,7.5,10.0,15.3,1.2,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-16 12:45:00,1.32926,BUY,0.01,1.3279966726633263,1.3317866546733477,VIRTUAL,2025-05-16 15:15:00,1.3279966726633263,SL,-1.2633273366737807,-12.633273366737807,83.2,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8027443057738785,-3.039380177609077,0.0928965298143095,-0.3333231688960539,-0.5976650220463915,0,39.0,45,7.5,10.0,16.0,1.2,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-16 15:15:00,1.32861,BUY,0.04,1.3273594262004138,1.3311111475991724,REAL,2025-05-16 17:30:00,1.3273594262004138,SL,-5.0022951983450525,-12.505737995862631,75.39999999999999,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7543521914485679,-1.0573768968643695,0.3338944646199823,-0.0644090579574458,-0.9826022089637184,0,33.0,45,7.5,10.0,8.8,0.6,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
