entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,1000,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_fvg_size_atr,weight_hurst,weight_lr_deviation,weight_skewness,weight_kurtosis,weight_obv_div,weight_overlap_count,weight_regime,weight_vwap,weight_obv,weight_volume,hurst,lr_deviation,r2,skewness,kurtosis,obv_divergence,atr_percentile,score_fvg,score_fvg_size_atr,score_hurst,score_lr_deviation,score_skewness,score_kurtosis,score_obv_div,score_overlap_count,score_regime,score_vwap,score_obv,score_volume
5/16/2025 15:30,1.32799,BUY,0.07,1.326736169,1.330497661,REAL,5/16/2025 17:30,1.326736169,SL,-8.776814384,,-12.53830626,71.875,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.75694106,-1.42979547,0.411332925,0.02586277,-1.107580067,1,30,50,7.5,0,12.375,2,0,0,0,0,0,0,0
5/19/2025 2:00,1.33004,BUY,0.14,1.328839799,1.332440402,REAL,5/19/2025 10:00,1.332440402,TP,33.6056239,,24.00401707,75.9,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.725506957,1.792399401,0.000102405,2.029564823,6.44135925,0,29,50,7.5,0,8.4,10,0,0,0,0,0,0,0
5/19/2025 10:15,1.33511,BUY,0.01,1.333538669,1.338252661,VIRTUAL,5/19/2025 12:15,1.338252661,TP,3.142661475,,31.42661475,81,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.73576382,3.378584624,0.578377636,1.091851668,0.771823187,0,21,50,7.5,0,13.5,10,0,0,0,0,0,0,0
5/19/2025 12:15,1.33808,BUY,0.01,1.336123895,1.341992209,VIRTUAL,5/19/2025 16:45,1.336123895,SL,-1.956104538,,-19.56104538,70,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.767971115,1.873877242,0.625274252,0.085033648,-0.581475784,0,2,50,7.5,0,10.5,2,0,0,0,0,0,0,0
5/19/2025 17:00,1.33666,BUY,0.01,1.335023782,1.339932437,VIRTUAL,5/19/2025 19:00,1.335023782,SL,-1.636218257,,-16.36218257,79,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.790485216,-1.77426921,0.760664056,0.325985634,0.419436551,0,32,50,7.5,0,17.5,4,0,0,0,0,0,0,0
5/19/2025 19:00,1.33558,BUY,0.01,1.334035328,1.338669343,VIRTUAL,5/20/2025 10:15,1.338669343,TP,3.089343485,,30.89343485,75.35,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.769769541,-1.618436729,0.507617036,-0.952023362,0.986632938,0,29,50,7.5,0,15.75,2.1,0,0,0,0,0,0,0
5/20/2025 15:45,1.33402,BUY,0.01,1.332597022,1.336865956,VIRTUAL,5/20/2025 17:00,1.336865956,TP,2.84595553,,28.4595553,78.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.744313933,-2.302616789,2.43E-05,0.228648875,-0.897431074,0,43,50,7.5,0,17,4,0,0,0,0,0,0,0
5/21/2025 3:15,1.34079,BUY,0.01,1.339989178,1.342391644,VIRTUAL,5/21/2025 4:30,1.339989178,SL,-0.80082193,,-8.008219304,74.1,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.728331341,0.647317713,0.857673719,1.007806087,1.358938805,0,83,50,7.5,0,6.6,10,0,0,0,0,0,0,0
5/21/2025 5:15,1.34226,BUY,0.01,1.341164804,1.344450392,VIRTUAL,5/21/2025 9:00,1.344450392,TP,2.190391645,,21.90391645,81.525,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.736439102,2.372314828,0.901781356,1.184957997,1.122237091,0,69,50,7.5,0,14.025,10,0,0,0,0,0,0,0
5/21/2025 9:00,1.34491,BUY,0.01,1.343523752,1.347682495,VIRTUAL,5/21/2025 10:00,1.343523752,SL,-1.386247624,,-13.86247624,81.525,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.727471096,2.226203601,0.91640801,1.147968507,1.29092181,0,56,50,7.5,0,14.025,10,0,0,0,0,0,0,0
