entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias
2025-08-22 07:00:00,1.3394,SELL,0.01,1.3411347497917872,1.3359305004164255,VIRTUAL,2025-08-22 11:00:00,1.3411347497917872,SL,-1.7347497917872268,-17.347497917872268,85.0,HIGH,BEARISH_BIAS
2025-08-22 13:00:00,1.34109,SELL,0.01,1.3426193304044112,1.3380313391911773,VIRTUAL,2025-08-22 16:00:00,1.3426193304044112,SL,-1.5293304044112777,-15.293304044112777,89.5,HIGH,BEARISH_BIAS
2025-08-22 16:00:00,1.34231,SELL,0.01,1.3439872263402937,1.3389555473194124,VIRTUAL,2025-08-22 17:00:00,1.3439872263402937,SL,-1.6772263402937693,-16.772263402937693,80.5,HIGH,BEARISH_BIAS
2025-08-25 22:00:00,1.34539,SELL,0.01,1.3476994440788128,1.3407711118423749,REAL,2025-08-26 03:00:00,1.3476994440788128,SL,-2.309444078812728,-23.09444078812728,85.0,HIGH,BEARISH_BIAS
2025-08-26 03:00:00,1.3481,SELL,0.013000000000000001,1.3505820156317427,1.3431359687365145,REAL,2025-08-27 11:00:00,1.3431359687365145,TP,6.4532406425312105,49.64031263485546,80.0,HIGH,BEARISH_BIAS
2025-08-27 11:00:00,1.34452,SELL,0.01,1.3465972679967149,1.34036546400657,VIRTUAL,2025-08-27 18:00:00,1.3465972679967149,SL,-2.0772679967149266,-20.772679967149266,95.5,HIGH,BEARISH_BIAS
2025-08-29 12:00:00,1.34599,SELL,0.01,1.347952704855001,1.3420645902899977,VIRTUAL,2025-08-29 17:00:00,1.347952704855001,SL,-1.9627048550010517,-19.627048550010517,89.5,HIGH,BEARISH_BIAS
2025-09-02 10:00:00,1.34031,SELL,0.01,1.3443443861951847,1.3322412276096305,VIRTUAL,2025-09-03 17:00:00,1.3443443861951847,SL,-4.034386195184814,-40.34386195184813,100.0,HIGH,BEARISH_BIAS
2025-09-03 17:00:00,1.34335,SELL,0.01,1.3467396210557334,1.3365707578885333,REAL,2025-09-05 09:00:00,1.3467396210557334,SL,-3.3896210557333717,-33.89621055733372,85.0,HIGH,BEARISH_BIAS
2025-09-10 16:00:00,1.35552,SELL,0.013000000000000001,1.3585031479879386,1.3495537040241232,REAL,2025-09-11 12:00:00,1.3495537040241232,TP,7.756184768639885,59.66295975876834,80.0,HIGH,BEARISH_BIAS
2025-09-11 15:00:00,1.3545,SELL,0.01,1.357371590671551,1.348756818656898,VIRTUAL,2025-09-11 18:00:00,1.357371590671551,SL,-2.871590671551072,-28.71590671551072,80.0,HIGH,BEARISH_BIAS
2025-09-19 15:00:00,1.34685,SELL,0.01,1.3498348916817142,1.340880216636572,VIRTUAL,2025-09-22 11:00:00,1.3498348916817142,SL,-2.984891681714119,-29.84891681714119,89.5,HIGH,BEARISH_BIAS
2025-09-24 13:00:00,1.34646,SELL,0.01,1.348462120565071,1.3424557588698578,VIRTUAL,2025-09-25 14:00:00,1.3424557588698578,TP,4.004241130142194,40.04241130142194,85.0,HIGH,BEARISH_BIAS
